DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.053554344922304153" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.030206689611077309" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.079474963247776031" 
0, comb, up_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00661851727828" 
0, comb, up_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0179857329003" 
0, comb, up_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.128701375981" 
0, comb, up_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.060087280691" 
0, comb, up_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00605740223588" 
0, comb, up_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0192642856842" 
0, comb, up_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0466762614363" 
0, comb, up_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0962514093264" 
0, comb, up_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0142801043013" 
0, comb, up_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00264740685102" 
0, comb, up_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00719429234844" 
0, comb, up_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0514805512201" 
0, comb, up_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0240349127938" 
0, comb, up_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00242295931546" 
0, comb, up_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00770571450745" 
0, comb, up_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0186705055336" 
0, comb, up_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0385005614298" 
0, comb, up_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00571204197275" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0235705588477" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0242804690314" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0368968758455" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0457416021404" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0249397497992" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0150255978016" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0281770164719" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.173817003966" 
0, comb, up_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00868443035453" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00942822316908" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00971218798199" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0147587501547" 
