
Attaching file /nfs/user/pmastra/DeepTau2p5/TauOfficial/nano/UL2018/DYJetsToLL_M-50-madgraphMLM/nano_0_skim_0.root as _file0...
Collection name='TObjArray', class='TObjArray', size=368
 OBJ: TLeafF	PV_score	PV_score
 OBJ: TLeafF	PV_x	PV_x
 OBJ: TLeafF	PV_y	PV_y
 OBJ: TLeafF	PV_z	PV_z
 OBJ: TLeafF	Pileup_gpudensity	Pileup_gpudensity
 OBJ: TLeafF	Pileup_nTrueInt	Pileup_nTrueInt
 OBJ: TLeafF	Pileup_pudensity	Pileup_pudensity
 OBJ: TLeafF	PuppiMET_phiJERDown	PuppiMET_phiJERDown
 OBJ: TLeafF	PuppiMET_phiJERUp	PuppiMET_phiJERUp
 OBJ: TLeafF	PuppiMET_phiJESDown	PuppiMET_phiJESDown
 OBJ: TLeafF	PuppiMET_phiJESUp	PuppiMET_phiJESUp
 OBJ: TLeafF	PuppiMET_phiUnclusteredDown	PuppiMET_phiUnclusteredDown
 OBJ: TLeafF	PuppiMET_phiUnclusteredUp	PuppiMET_phiUnclusteredUp
 OBJ: TLeafF	PuppiMET_phi	PuppiMET_phi
 OBJ: TLeafF	PuppiMET_ptJERDown	PuppiMET_ptJERDown
 OBJ: TLeafF	PuppiMET_ptJERUp	PuppiMET_ptJERUp
 OBJ: TLeafF	PuppiMET_ptJESDown	PuppiMET_ptJESDown
 OBJ: TLeafF	PuppiMET_ptJESUp	PuppiMET_ptJESUp
 OBJ: TLeafF	PuppiMET_ptUnclusteredDown	PuppiMET_ptUnclusteredDown
 OBJ: TLeafF	PuppiMET_ptUnclusteredUp	PuppiMET_ptUnclusteredUp
 OBJ: TLeafF	PuppiMET_pt	PuppiMET_pt
 OBJ: TLeafF	PuppiMET_sumEt	PuppiMET_sumEt
 OBJ: TLeafF	RawMET_phi	RawMET_phi
 OBJ: TLeafF	RawMET_pt	RawMET_pt
 OBJ: TLeafF	RawMET_sumEt	RawMET_sumEt
 OBJ: TLeafF	RawPuppiMET_phi	RawPuppiMET_phi
 OBJ: TLeafF	RawPuppiMET_pt	RawPuppiMET_pt
 OBJ: TLeafF	RawPuppiMET_sumEt	RawPuppiMET_sumEt
 OBJ: TLeafF	Rho_fixedGridRhoAll	Rho_fixedGridRhoAll
 OBJ: TLeafF	Rho_fixedGridRhoFastjetAll	Rho_fixedGridRhoFastjetAll
 OBJ: TLeafF	Rho_fixedGridRhoFastjetCentralCalo	Rho_fixedGridRhoFastjetCentralCalo
 OBJ: TLeafF	Rho_fixedGridRhoFastjetCentralChargedPileUp	Rho_fixedGridRhoFastjetCentralChargedPileUp
 OBJ: TLeafF	Rho_fixedGridRhoFastjetCentralNeutral	Rho_fixedGridRhoFastjetCentralNeutral
